Observation,TextUrn,Image,Comments
urn:cite:op:281rS.01,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@ι,"urn:cite:hmt:vaimg.VA281RN-0451@0.6134,0.2321,0.0062,0.0084",
urn:cite:op:281rS.02,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@λ,"urn:cite:hmt:vaimg.VA281RN-0451@0.6203,0.2308,0.0091,0.008",
urn:cite:op:281rS.03,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@η,"urn:cite:hmt:vaimg.VA281RN-0451@0.6291,0.2315,0.0084,0.0065",
urn:cite:op:281rS.04,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@ι[2],"urn:cite:hmt:vaimg.VA281RN-0451@0.6381,0.2325,0.0039,0.006",
urn:cite:op:281rS.05,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@ο,"urn:cite:hmt:vaimg.VA281RN-0451@0.644,0.2335,0.0068,0.0039",
urn:cite:op:281rS.06,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@ν,"urn:cite:hmt:vaimg.VA281RN-0451@0.6502,0.2336,0.0068,0.0039",
urn:cite:op:281rS.07,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@ο[2],"urn:cite:hmt:vaimg.VA281RN-0451@0.6661,0.2339,0.0074,0.0044",
urn:cite:op:281rS.08,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@υ,"urn:cite:hmt:vaimg.VA281RN-0451@0.6735,0.2341,0.0068,0.0033",
urn:cite:op:281rS.09,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@τ,"urn:cite:hmt:vaimg.VA281RN-0451@0.6819,0.2339,0.0093,0.0052",
urn:cite:op:281rS.10,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@ω,"urn:cite:hmt:vaimg.VA281RN-0451@0.6902,0.2336,0.0072,0.0039",
urn:cite:op:281rS.11,urn:cts:greekLit:tlg5026.msA:hmt:21.281r1@σ,"urn:cite:hmt:vaimg.VA281RN-0451@0.6982,0.233,0.0079,0.0053",
