Observation,TextUrn,Image,Comments
urn:cite:op:281r.01,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@α,"urn:cite:hmt:vaimg.VA281RN-0451@0.1936,0.2158,0.011,0.0119",
urn:cite:op:281r.02,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@ι,"urn:cite:hmt:vaimg.VA281RN-0451@0.2035,0.2163,0.011,0.0119",
urn:cite:op:281r.03,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@ρ,"urn:cite:hmt:vaimg.VA281RN-0451@0.2122,0.217,0.011,0.0141",
urn:cite:op:281r.04,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@η,"urn:cite:hmt:vaimg.VA281RN-0451@0.2244,0.2109,0.0142,0.0141",
urn:cite:op:281r.05,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@σ,"urn:cite:hmt:vaimg.VA281RN-0451@0.2402,0.2161,0.0083,0.0105",
urn:cite:op:281r.06,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@ει,"urn:cite:hmt:vaimg.VA281RN-0451@0.2476,0.2096,0.0142,0.0212", ει ligature
urn:cite:op:281r.07,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@μ,"urn:cite:hmt:vaimg.VA281RN-0451@0.2611,0.2149,0.0142,0.0131",
urn:cite:op:281r.08,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@ε,"urn:cite:hmt:vaimg.VA281RN-0451@0.274,0.213,0.0142,0.0131",
urn:cite:op:281r.09,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@κ,"urn:cite:hmt:vaimg.VA281RN-0451@0.291,0.2123,0.0177,0.0145",
urn:cite:op:281r.10,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@α[2],"urn:cite:hmt:vaimg.VA281RN-0451@0.3087,0.2158,0.0106,0.0093",
urn:cite:op:281r.11,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@ι[2],"urn:cite:hmt:vaimg.VA281RN-0451@0.3172,0.2171,0.0083,0.0093",
urn:cite:op:281r.12,urn:cts:greekLit:tlg0012.tlg001.msA:21.555@ω,"urn:cite:hmt:vaimg.VA281RN-0451@0.328,0.2182,0.0138,0.0059",
