Observation,TextUrn,Image,Comments
urn:cite:op:279rS.01,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@σ,"urn:cite:hmt:vaimg.VA279RN-0449@0.2257,0.1003,0.004,0.0049",
urn:cite:op:279rS.02,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@τ,"urn:cite:hmt:vaimg.VA279RN-0449@0.2271,0.0933,0.0133,0.0134",
urn:cite:op:279rS.03,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ε,"urn:cite:hmt:vaimg.VA279RN-0449@0.2368,0.1007,0.0044,0.0047",
urn:cite:op:279rS.04,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@υ,"urn:cite:hmt:vaimg.VA279RN-0449@0.2424,0.1015,0.0049,0.0036",
urn:cite:op:279rS.05,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@τ[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.2488,0.1009,0.0081,0.0038",
urn:cite:op:279rS.06,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ο,"urn:cite:hmt:vaimg.VA279RN-0449@0.2561,0.101,0.0038,0.0035",
urn:cite:op:279rS.07,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@δ,"urn:cite:hmt:vaimg.VA279RN-0449@0.2628,0.0995,0.0098,0.005",
urn:cite:op:279rS.08,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ε[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.2717,0.1005,0.004,0.0044",
urn:cite:op:279rS.09,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@γ,"urn:cite:hmt:vaimg.VA279RN-0449@0.2782,0.1009,0.0065,0.0041",
urn:cite:op:279rS.10,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@α,"urn:cite:hmt:vaimg.VA279RN-0449@0.2865,0.1,0.0069,0.0047",
urn:cite:op:279rS.11,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@β,"urn:cite:hmt:vaimg.VA279RN-0449@0.2938,0.0998,0.0112,0.0046",
urn:cite:op:279rS.12,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@φ,"urn:cite:hmt:vaimg.VA279RN-0449@0.3039,0.0922,0.0055,0.0158",
urn:cite:op:279rS.13,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ο[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.3109,0.1,0.0043,0.0035",
urn:cite:op:279rS.14,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@τ[3],"urn:cite:hmt:vaimg.VA279RN-0449@0.3153,0.0955,0.0113,0.0113",
urn:cite:op:279rS.15,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ε[3],"urn:cite:hmt:vaimg.VA279RN-0449@0.3237,0.0999,0.004,0.0041",
urn:cite:op:279rS.16,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ρ,"urn:cite:hmt:vaimg.VA279RN-0449@0.3283,0.1002,0.005,0.0091",
urn:cite:op:279rS.17,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ω,"urn:cite:hmt:vaimg.VA279RN-0449@0.3346,0.1004,0.0071,0.0032",
urn:cite:op:279rS.18,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ν,"urn:cite:hmt:vaimg.VA279RN-04490.3435,0.1002,0.0062,0.0032",
urn:cite:op:279rS.19,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ὅτι,"urn:cite:hmt:vaimg.VA279RN-0449@0.3636,0.0925,0.0214,0.0121", ὅτι ligature
urn:cite:op:279rS.20,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@τ[4],"urn:cite:hmt:vaimg.VA279RN-0449@0.3773,0.1007,0.0085,0.0041",
urn:cite:op:279rS.21,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ο[3],"urn:cite:hmt:vaimg.VA279RN-0449@0.3851,0.101,0.0034,0.0033",
urn:cite:op:279rS.22,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@στ,"urn:cite:hmt:vaimg.VA279RN-0449@0.3913,0.1012,0.0086,0.0049", στ ligature
urn:cite:op:279rS.23,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ευ,"urn:cite:hmt:vaimg.VA279RN-0449@0.3969,0.0958,0.011,0.0083", ευ ligature
urn:cite:op:279rS.24,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@τ[5],"urn:cite:hmt:vaimg.VA279RN-0449@0.4075,0.0998,0.0049,0.005",
urn:cite:op:279rS.25,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ο[4],"urn:cite:hmt:vaimg.VA279RN-0449@0.4122,0.1001,0.0035,0.0031",
urn:cite:op:279rS.26,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@κ,"urn:cite:hmt:vaimg.VA279RN-0449@0.4205,0.0933,0.009,0.0118",
urn:cite:op:279rS.27,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@α[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.4293,0.1002,0.0085,0.003",
urn:cite:op:279rS.28,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@τ[6],"urn:cite:hmt:vaimg.VA279RN-0449@0.4373,0.1003,0.0069,0.0041",
urn:cite:op:279rS.29,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@α[3],"urn:cite:hmt:vaimg.VA279RN-0449@0.4436,0.0999,0.0082,0.0032",
urn:cite:op:279rS.30,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@δ[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.4498,0.0941,0.0103,0.0087",
urn:cite:op:279rS.31,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ι,"urn:cite:hmt:vaimg.VA279RN-0449@0.4588,0.0985,0.0037,0.0049",
urn:cite:op:279rS.32,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@α[4],"urn:cite:hmt:vaimg.VA279RN-0449@0.4645,0.0993,0.0064,0.0033",
urn:cite:op:279rS.33,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ν[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.4706,0.0996,0.0048,0.0028",
urn:cite:op:279rS.34,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ο[5],"urn:cite:hmt:vaimg.VA279RN-0449@0.4768,0.0989,0.0039,0.003",
urn:cite:op:279rS.35,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ι[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.4819,0.0985,0.0024,0.0035",
urn:cite:op:279rS.36,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@α[5],"urn:cite:hmt:vaimg.VA279RN-0449@0.4857,0.0987,0.0065,0.0034",
urn:cite:op:279rS.37,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ν[3],"urn:cite:hmt:vaimg.VA279RN-0449@0.4923,0.0978,0.0044,0.0031",
urn:cite:op:279rS.38,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ω[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.5008,0.0987,0.0081,0.0032",
urn:cite:op:279rS.39,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ρ[2],"urn:cite:hmt:vaimg.VA279RN-0449@0.5107,0.0988,0.0076,0.0054",
urn:cite:op:279rS.40,urn:cts:greekLit:tlg5026.msA:hmt:21.279r1@ι[3],"urn:cite:hmt:vaimg.VA279RN-0449@0.518,0.099,0.0024,0.0047",
