Observation,TextUrn,Image,Comments
urn:cite:op:280v.01,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ο,"urn:cite:hmt:vaimg.VA280VN-0782@0.5004,0.2263,0.0069,0.0082",
urn:cite:op:280v.02,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@τ,"urn:cite:hmt:vaimg.VA280VN-0782@0.5103,0.2259,0.0156,0.0084",
urn:cite:op:280v.03,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ρ,"urn:cite:hmt:vaimg.VA280VN-0782@0.5244,0.227,0.0102,0.0115",
urn:cite:op:280v.04,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@υ,"urn:cite:hmt:vaimg.VA280VN-0782@0.5369,0.2268,0.0072,0.0063",
urn:cite:op:280v.05,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ν,"urn:cite:hmt:vaimg.VA280VN-0782@0.5446,0.2263,0.0089,0.0071",
urn:cite:op:280v.06,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ω,"urn:cite:hmt:vaimg.VA280VN-0782@0.5548,0.2272,0.013,0.0056",
urn:cite:op:280v.07,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ν[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.5548,0.2272,0.013,0.0056",
urn:cite:op:280v.08,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@π,"urn:cite:hmt:vaimg.VA280VN-0782@0.5824,0.227,0.0182,0.0077",
urn:cite:op:280v.09,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@α,"urn:cite:hmt:vaimg.VA280VN-0782@0.5996,0.2272,0.0105,0.0067",
urn:cite:op:280v.10,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ρ[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.609,0.2268,0.0092,0.0107",
urn:cite:op:280v.11,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@α[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.6203,0.228,0.0138,0.0065",
urn:cite:op:280v.12,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@τ[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.6336,0.2278,0.0125,0.0077",
urn:cite:op:280v.13,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ε,"urn:cite:hmt:vaimg.VA280VN-0782@0.6453,0.2274,0.0072,0.0088",
urn:cite:op:280v.14,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ι,"urn:cite:hmt:vaimg.VA280VN-0782@0.6533,0.2286,0.0066,0.0073",
