Observation,TextUrn,Image,Comments
urn:cite:op:280vS.01,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@α,"urn:cite:hmt:vaimg.VA280VN-0782@0.2515,0.1093,0.0101,0.0084",
urn:cite:op:280vS.02,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@υ,"urn:cite:hmt:vaimg.VA280VN-0782@0.2629,0.1118,0.0066,0.004",
urn:cite:op:280vS.03,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@τ,"urn:cite:hmt:vaimg.VA280VN-0782@0.2689,0.1122,0.006,0.0043",
urn:cite:op:280vS.04,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@ι,"urn:cite:hmt:vaimg.VA280VN-0782@0.2745,0.1115,0.003,0.0044",
urn:cite:op:280vS.05,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@σ,"urn:cite:hmt:vaimg.VA280VN-0782@0.2793,0.1118,0.0031,0.0041",
urn:cite:op:280vS.06,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@ε,"urn:cite:hmt:vaimg.VA280VN-0782@0.2874,0.112,0.0053,0.0048",
urn:cite:op:280vS.07,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@π,"urn:cite:hmt:vaimg.VA280VN-0782@0.2949,0.1127,0.0089,0.0036",
urn:cite:op:280vS.08,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@α[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.3036,0.1118,0.0054,0.0044",
urn:cite:op:280vS.09,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@ψ,"urn:cite:hmt:vaimg.VA280VN-0782@0.3104,0.1025,0.0096,0.0174",
urn:cite:op:280vS.10,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@θ,"urn:cite:hmt:vaimg.VA280VN-0782@0.3241,0.1112,0.0055,0.0074",
urn:cite:op:280vS.11,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@ε[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.3308,0.1144,0.0033,0.0041",
urn:cite:op:280vS.12,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@μ,"urn:cite:hmt:vaimg.VA280VN-0782@0.3358,0.1153,0.009,0.004",
urn:cite:op:280vS.13,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@ε[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.345,0.1149,0.0039,0.0045",
urn:cite:op:280vS.14,urn:cts:greekLit:tlg5026.msA:hmt:21.280v1@ν,"urn:cite:hmt:vaimg.VA280VN-0782@0.3524,0.1161,0.0069,0.0042",
